x,y,z,t
1.627000000000000000e+03,1.184000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.196000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.208000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.221000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.233000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.245000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.257000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.270000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.282000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.294000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.306000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.648000000000000000e+03,1.319000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.331000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627000000000000000e+03,1.356000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,6.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,6.810000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,6.930000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,7.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,7.170000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,7.300000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,7.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,7.540000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,7.660000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,7.790000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,7.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,8.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,8.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,8.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,8.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,8.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,8.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,8.770000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,8.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,9.010000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,9.140000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,9.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,9.380000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,9.510000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,9.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,9.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,9.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.024000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,1.036000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.049000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,1.061000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.073000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,1.086000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.098000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585000000000000000e+03,1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.122000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.135000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.147000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.159000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.171000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.184000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.196000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.208000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.221000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.233000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.245000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.257000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.270000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.282000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.294000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.306000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.319000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.331000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.343000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.356000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.606000000000000000e+03,1.368000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.380000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.584000000000000000e+03,1.405000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,6.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,6.560000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,6.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,6.800000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,6.930000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,7.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,7.170000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,7.300000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,7.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,7.540000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,7.660000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,7.790000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,7.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,8.030000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,8.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.564000000000000000e+03,8.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,8.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,8.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,8.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,8.770000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,8.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,9.010000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,9.140000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,9.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,9.380000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,9.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,9.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,9.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,9.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,1.024000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,1.036000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,1.049000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,1.061000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,1.073000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,1.086000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.563000000000000000e+03,1.098000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.542000000000000000e+03,1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
